show_name,season,episode,air_date,imdb_rating,episode_index,is_event,event_type,event_detail
Breaking Bad,1,1,01-20-2008,9.1,1,1,premiere,Series Premiere
Breaking Bad,1,2,01-27-2008,8.6,2,0,,
Breaking Bad,1,3,02-10-2008,8.7,3,1,death,"Domingo ""Krazy-8"" Molina (opening antagonist)"
Breaking Bad,1,4,02-17-2008,8.2,4,0,,
Breaking Bad,1,5,02-24-2008,8.3,5,0,,
Breaking Bad,1,6,03-02-2008,9.3,6,0,,
Breaking Bad,1,7,03-09-2008,8.8,7,1,finale,
Breaking Bad,2,1,03-08-2009,8.6,8,1,premiere,Season Premiere
Breaking Bad,2,2,03-15-2009,9.3,9,1,death,Tuco Salamanca (major antagonist)
Breaking Bad,2,3,03-22-2009,8.3,10,0,,
Breaking Bad,2,4,03-29-2009,8.2,11,0,,
Breaking Bad,2,5,04-05-2009,8.2,12,0,,
Breaking Bad,2,6,04-12-2009,8.9,13,0,,
Breaking Bad,2,7,04-19-2009,8.6,14,0,,
Breaking Bad,2,8,04-26-2009,9.3,15,0,,
Breaking Bad,2,9,05-03-2009,9.2,16,0,,
Breaking Bad,2,10,05-10-2009,8.4,17,0,,
Breaking Bad,2,11,05-17-2009,8.9,18,0,,
Breaking Bad,2,12,05-24-2009,9.3,19,1,death,Jane Margolis
Breaking Bad,2,13,05-31-2009,9.3,20,1,finale,
Breaking Bad,3,1,03-21-2010,8.5,21,1,premiere,Season Premiere
Breaking Bad,3,2,03-28-2010,8.6,22,0,,
Breaking Bad,3,3,04-04-2010,8.4,23,0,,
Breaking Bad,3,4,04-11-2010,8.1,24,0,,
Breaking Bad,3,5,04-18-2010,8.5,25,0,,
Breaking Bad,3,6,04-25-2010,9.3,26,0,,
Breaking Bad,3,7,05-02-2010,9.6,27,1,death,Marco Salamanca (major antagonist)
Breaking Bad,3,8,05-09-2010,8.7,28,1,death,Leonel Salamanca (major antagonist)
Breaking Bad,3,9,05-16-2010,8.4,29,0,,
Breaking Bad,3,10,05-23-2010,8,30,0,,
Breaking Bad,3,11,05-30-2010,8.4,31,0,,
Breaking Bad,3,12,06-06-2010,9.5,32,0,,
Breaking Bad,3,13,06-13-2010,9.7,33,1,death,Gale Boetticher
Breaking Bad,4,1,07-17-2011,9.2,34,1,death,Victor
Breaking Bad,4,2,07-24-2011,8.2,35,0,,
Breaking Bad,4,3,07-31-2011,8,36,0,,
Breaking Bad,4,4,08-07-2011,8.5,37,0,,
Breaking Bad,4,5,08-14-2011,8.6,38,0,,
Breaking Bad,4,6,08-21-2011,8.4,39,0,,
Breaking Bad,4,7,08-28-2011,8.8,40,0,,
Breaking Bad,4,8,09-04-2011,9.3,41,0,,
Breaking Bad,4,9,09-11-2011,8.9,42,0,,
Breaking Bad,4,10,09-18-2011,9.6,43,1,death,Don Eladio (overarching antagonist)
Breaking Bad,4,11,09-25-2011,9.7,44,0,,
Breaking Bad,4,12,10-02-2011,9.5,45,0,,
Breaking Bad,4,13,10-09-2011,9.9,46,1,death,Gus Fring (main antagonist)
Breaking Bad,5,1,07-15-2012,9.2,47,1,premiere,Season Premiere
Breaking Bad,5,2,07-22-2012,8.8,48,0,,
Breaking Bad,5,3,07-29-2012,8.8,49,0,,
Breaking Bad,5,4,08-05-2012,8.8,50,0,,
Breaking Bad,5,5,08-12-2012,9.7,51,1,death,Drew Sharp
Breaking Bad,5,6,08-19-2012,9,52,0,,
Breaking Bad,5,7,08-26-2012,9.6,53,1,death,Mike Ehrmantraut (major character)
Breaking Bad,5,8,09-02-2012,9.6,54,1,death,Prison killings (Walt orders execution)
Breaking Bad,5,9,08-11-2013,9.5,55,0,,
Breaking Bad,5,10,08-18-2013,9.2,56,0,,
Breaking Bad,5,11,08-25-2013,9.6,57,0,,
Breaking Bad,5,12,09-01-2013,9.2,58,0,,
Breaking Bad,5,13,09-08-2013,9.8,59,0,,
Breaking Bad,5,14,09-15-2013,10,60,1,death,Hank Schrader (major character)
Breaking Bad,5,15,09-22-2013,9.7,61,1,death,Andrea Cantillo
Breaking Bad,5,16,09-29-2013,9.9,62,1,death,Walter White (main character)
Better Call Saul,1,1,02-08-2015,8.4,1,1,premiere,Series Premiere
Better Call Saul,1,2,02-09-2015,8.9,2,0,,
Better Call Saul,1,3,02-16-2015,8.6,3,0,,
Better Call Saul,1,4,02-23-2015,8.3,4,0,,
Better Call Saul,1,5,03-02-2015,8,5,0,,
Better Call Saul,1,6,03-09-2015,9.4,6,0,,
Better Call Saul,1,7,03-16-2015,8.6,7,0,,
Better Call Saul,1,8,03-23-2015,8.6,8,0,,
Better Call Saul,1,9,03-30-2015,9.4,9,0,,
Better Call Saul,1,10,04-06-2015,8.6,10,1,finale,
Better Call Saul,2,1,02-15-2016,8.2,11,1,premiere,Season Premiere
